Date,005930.KS,0700.HK,2330.TW,9988.HK,6758.T,INFY.BO,9984.T,9618.HK,9888.HK,000660.KS,9999.HK,WIPRO.BO,6861.T,9613.T,4755.T,SE,8035.T,TCS.BO,1810.HK,7974.T,066570.KS,2357.TW,036570.KS,RELIANCE.BO,TECHM.BO,7751.T,6752.T,6702.T,2354.TW,000063.SZ
2014-02-05,24740.0,102.0999984741211,100.5,,1600.0,447.6937561035156,3518.0,,,36650.0,,209.9250030517578,10212.5,755.0,1524.0,,5191.0,1095.5250244140625,,1143.5,62600.0,279.5,197000.0,408.07501220703125,459.5625,2918.0,1262.0,5630.0,61.80533218383789,
2014-02-06,25180.0,101.69999694824219,102.0,,1624.0,445.4312438964844,3650.0,,,38600.0,,213.13125610351562,10237.5,784.0,1558.0,,5215.0,1087.375,,1128.5,62800.0,277.0,200000.0,407.92498779296875,461.1000061035156,2889.0,1210.0,5880.0,62.08541488647461,
2014-02-07,25500.0,104.9000015258789,104.0,,1691.0,445.8374938964844,3687.5,,,39300.0,,210.3562469482422,10220.0,781.0,1563.0,,5343.0,1071.675048828125,,1149.0,61200.0,280.0,200000.0,407.1499938964844,455.3500061035156,2981.0,1192.0,5980.0,62.83230972290039,11.391666412353516
2014-02-10,25540.0,106.69999694824219,103.0,,1702.0,446.0625,3898.5,,,39000.0,,211.1437530517578,10591.25,791.0,1592.0,,5404.0,1046.8499755859375,,1210.5,61600.0,285.5,204000.0,410.79998779296875,457.63751220703125,3010.0,1206.0,6060.0,62.9256706237793,11.691665649414062
2014-02-11,26220.0,106.0,104.5,,,449.4750061035156,,,,39000.0,,211.08749389648438,,,,,,1050.5,,,60800.0,284.0,204000.0,402.75,465.5874938964844,,,,62.9256706237793,11.558333396911621
2014-02-12,26140.0,107.5999984741211,105.0,,1765.0,449.95001220703125,3891.0,,,39850.0,,210.80624389648438,10825.0,791.0,1640.0,,5650.0,1051.9000244140625,,1216.5,61800.0,290.0,209000.0,408.7250061035156,468.88751220703125,3046.0,1220.0,6230.0,63.205753326416016,11.666666030883789
2014-02-13,25960.0,108.0,105.0,,1729.0,448.3062438964844,3753.0,,,39900.0,,208.36874389648438,10610.0,778.0,1637.0,,5555.0,1066.875,,1171.5,61500.0,288.0,215000.0,403.7250061035156,453.6875,3025.0,1181.0,6170.0,63.29911422729492,11.308333396911621
2014-02-14,26020.0,109.69999694824219,107.5,,1703.0,455.70001220703125,3749.5,,,39050.0,,211.5,10190.0,760.0,1657.0,,5863.0,1083.125,,1177.0,62500.0,288.0,210500.0,410.75,458.1625061035156,3013.0,1149.0,6080.0,62.9256706237793,11.25
2014-02-17,25700.0,116.0,108.5,,1718.0,457.78125,3757.0,,,38700.0,,210.31875610351562,10442.5,759.0,1499.0,,5790.0,1084.300048828125,,1185.5,62700.0,286.0,212000.0,405.7250061035156,456.32501220703125,3007.0,1140.0,6150.0,62.365501403808594,11.958333015441895
2014-02-18,25900.0,116.9000015258789,108.0,,1780.0,460.0,3908.5,,,38800.0,,208.8937530517578,10967.5,788.0,1524.0,,5884.0,1083.074951171875,,1246.5,62200.0,293.0,209000.0,406.375,455.32501220703125,3079.0,1175.0,6320.0,63.29911422729492,11.858332633972168
